Ano,Acidente,Num_fatalidade
2001,Pedestre,9720
2002,Pedestre,9947
2003,Pedestre,9991
2004,Pedestre,10166
2005,Pedestre,10320
2006,Pedestre,10147
2007,Pedestre,9657
2008,Pedestre,9474
2009,Pedestre,8799
2010,Pedestre,9944
2011,Pedestre,9244
2012,Pedestre,8819
2013,Pedestre,8220
2014,Pedestre,8082
2015,Pedestre,8082
2001,Ciclista,1008
2002,Ciclista,1240
2003,Ciclista,1263
2004,Ciclista,1389
2005,Ciclista,1523
2006,Ciclista,1668
2007,Ciclista,1649
2008,Ciclista,1615
2009,Ciclista,1573
2010,Ciclista,1513
2011,Ciclista,1475
2012,Ciclista,1492
2013,Ciclista,1348
2014,Ciclista,1357
2015,Ciclista,1357
2001,MotoCiclista,3100
2002,MotoCiclista,3744
2003,MotoCiclista,4271
2004,MotoCiclista,5042
2005,MotoCiclista,5974
2006,MotoCiclista,7162
2007,MotoCiclista,8078
2008,MotoCiclista,8898
2009,MotoCiclista,9268
2010,MotoCiclista,10825
2011,MotoCiclista,11433
2012,MotoCiclista,12544
2013,MotoCiclista,12040
2014,MotoCiclista,12652
2015,MotoCiclista,12652
2001,Automovel,6642
2002,Automovel,7199
2003,Automovel,7387
2004,Automovel,8387
2005,Automovel,8239
2006,Automovel,8924
2007,Automovel,9223
2008,Automovel,9284
2009,Automovel,9368
2010,Automovel,10341
2011,Automovel,11154
2012,Automovel,10154
2013,Automovel,9757
2014,Automovel,10084
2015,Automovel,8590
